,trade_dt,s_info_windcode,s_dq_open,s_dq_high,s_dq_low,s_dq_close,s_dq_preclose,s_dq_volume
0,2014-07-01,603328,18.37,22.05,18.37,22.05,15.31,7510.89
1,2014-07-02,603328,24.26,24.26,24.26,24.26,22.05,6038.1
2,2014-07-03,603328,26.69,26.69,26.69,26.69,24.26,8178.45
3,2014-07-04,603328,29.36,29.36,29.36,29.36,26.69,32536.9
4,2014-07-07,603328,32.26,32.3,29.36,32.3,29.36,599125.22
5,2014-07-08,603328,30.77,33.0,29.59,30.72,32.3,433007.04
6,2014-07-09,603328,30.01,30.94,28.5,29.1,30.72,314521.33
7,2014-07-10,603328,28.8,31.1,28.41,30.25,29.1,334128.45
8,2014-07-11,603328,29.53,30.21,28.6,28.77,30.25,243203.24
9,2014-07-14,603328,28.36,28.37,27.02,27.48,28.77,173359.13
10,2014-07-15,603328,27.43,27.98,26.91,27.32,27.48,130500.46
11,2014-07-16,603328,27.1,27.78,27.0,27.56,27.32,131004.21
12,2014-07-17,603328,27.31,27.45,26.01,26.13,27.56,148611.86
13,2014-07-18,603328,26.05,26.3,25.8,25.86,26.13,86119.04
14,2014-07-21,603328,25.7,25.7,25.08,25.34,25.86,87831.77
15,2014-07-22,603328,25.2,25.83,25.2,25.54,25.34,74150.65
16,2014-07-23,603328,25.4,25.4,24.65,24.73,25.54,109772.27
17,2014-07-24,603328,24.6,25.87,24.52,25.5,24.73,135027.94
18,2014-07-25,603328,25.2,25.4,24.73,25.09,25.5,81068.85
19,2014-07-28,603328,25.14,25.84,25.14,25.61,25.09,91861.1
20,2014-07-29,603328,25.69,26.17,25.44,25.84,25.61,96677.03
21,2014-07-30,603328,25.74,26.35,25.6,26.23,25.84,102330.78
22,2014-07-31,603328,26.24,26.24,25.7,25.84,26.23,72646.77
23,2014-08-01,603328,25.7,25.73,24.89,24.9,25.84,105990.14
24,2014-08-04,603328,24.8,25.08,24.8,25.03,24.9,58131.61
25,2014-08-05,603328,25.1,25.2,24.82,25.19,25.03,55371.14
26,2014-08-06,603328,25.05,25.15,24.9,24.97,25.19,43683.2
27,2014-08-07,603328,24.9,25.04,24.83,24.89,24.97,39055.66
28,2014-08-08,603328,24.85,25.25,24.85,25.05,24.89,45742.48
29,2014-08-11,603328,25.02,25.2,25.02,25.14,25.05,48280.25
30,2014-08-12,603328,25.15,25.68,25.0,25.58,25.14,91336.53
31,2014-08-13,603328,25.65,26.49,25.58,26.45,25.58,193746.9
32,2014-08-14,603328,27.0,29.1,27.0,28.83,26.45,351875.99
33,2014-08-15,603328,28.58,28.7,27.82,28.1,28.83,140028.33
34,2014-08-18,603328,28.3,28.42,27.36,27.66,28.1,120194.22
35,2014-08-19,603328,27.75,28.29,26.88,27.15,27.66,135124.95
36,2014-08-20,603328,27.21,29.26,27.21,28.18,27.15,211838.0
37,2014-08-21,603328,28.3,28.41,27.25,27.59,28.18,106029.54
38,2014-08-22,603328,27.59,27.85,27.25,27.7,27.59,65985.32
39,2014-08-25,603328,27.72,28.48,27.56,27.75,27.7,75560.83
40,2014-08-26,603328,27.61,27.61,26.44,26.63,27.75,90544.66
41,2014-08-27,603328,26.58,26.85,26.02,26.15,26.63,69555.77
42,2014-08-28,603328,26.12,26.12,25.63,25.78,26.15,43555.37
43,2014-08-29,603328,25.81,26.79,25.81,26.65,25.78,60014.0
44,2014-09-01,603328,26.65,26.95,26.52,26.84,26.65,47379.84
45,2014-09-02,603328,26.98,27.45,26.98,27.41,26.84,76845.97
46,2014-09-03,603328,27.51,27.57,27.03,27.33,27.41,55688.09
47,2014-09-04,603328,27.22,27.48,27.01,27.39,27.33,62320.31
48,2014-09-05,603328,27.45,27.47,26.84,27.01,27.39,67987.23
49,2014-09-09,603328,27.11,27.13,26.57,26.67,27.01,72789.92
50,2014-09-10,603328,26.51,26.98,26.45,26.84,26.67,52809.2
51,2014-09-11,603328,26.7,27.25,26.7,27.02,26.84,77195.38
52,2014-09-12,603328,27.01,27.01,26.52,26.78,27.02,56045.48
53,2014-09-15,603328,26.7,26.9,26.55,26.86,26.78,47192.68
54,2014-09-16,603328,26.85,26.85,25.4,25.5,26.86,87115.1
55,2014-09-17,603328,25.43,25.79,25.31,25.76,25.5,37460.14
56,2014-09-18,603328,25.7,25.73,25.51,25.6,25.76,26591.35
57,2014-09-19,603328,25.67,26.04,25.6,26.01,25.6,31301.54
58,2014-09-22,603328,26.0,26.0,25.38,25.53,25.95,27414.79
59,2014-09-23,603328,25.51,25.74,25.51,25.68,25.53,22832.82
60,2014-09-24,603328,25.7,25.98,25.52,25.96,25.68,34962.68
61,2014-09-25,603328,26.0,26.35,25.56,25.7,25.96,39519.42
62,2014-09-26,603328,25.59,25.78,25.4,25.57,25.7,28776.63
63,2014-09-29,603328,25.69,25.95,25.63,25.91,25.57,30440.6
64,2014-09-30,603328,26.02,26.11,25.85,26.05,25.91,27629.82
65,2014-10-08,603328,26.1,26.38,25.9,26.37,26.05,45574.29
66,2014-10-09,603328,26.53,26.55,26.06,26.34,26.37,45181.6
67,2014-10-10,603328,26.29,26.59,26.15,26.4,26.34,43770.27
68,2014-10-13,603328,26.38,26.63,25.85,26.61,26.4,52074.89
69,2014-10-14,603328,26.45,26.63,26.16,26.4,26.61,38055.28
70,2014-10-15,603328,26.31,26.41,26.15,26.37,26.4,23880.09
71,2014-10-16,603328,26.18,26.2,25.85,25.85,26.37,45973.54
72,2014-10-17,603328,25.7,26.4,25.4,26.29,25.85,62939.71
73,2014-10-20,603328,26.3,26.76,26.2,26.56,26.29,72612.76
74,2014-10-21,603328,26.79,27.15,26.35,27.04,26.56,97129.3
75,2014-10-22,603328,27.0,27.57,26.58,26.6,27.04,98801.53
76,2014-10-23,603328,26.55,26.7,25.57,25.59,26.6,59287.32
77,2014-10-24,603328,25.67,25.8,25.31,25.39,25.59,33347.47
78,2014-10-27,603328,25.34,25.34,24.55,24.89,25.39,37687.11
79,2014-10-28,603328,25.02,25.59,25.0,25.55,24.89,30517.54
80,2014-10-29,603328,25.54,25.78,25.4,25.72,25.55,44929.78
81,2014-10-30,603328,25.85,26.2,25.78,25.82,25.72,52204.31
82,2014-10-31,603328,25.82,26.55,25.8,26.41,25.82,66155.84
83,2014-11-03,603328,26.49,26.95,26.23,26.41,26.41,56885.47
84,2014-11-04,603328,26.33,26.47,25.83,26.0,26.41,38590.67
85,2014-11-05,603328,25.92,26.95,25.7,26.84,26.0,90549.54
86,2014-11-06,603328,26.69,27.28,26.55,27.22,26.84,89322.5
87,2014-11-07,603328,27.3,29.2,27.0,27.56,27.22,205229.2
88,2014-11-10,603328,27.31,28.35,27.13,27.94,27.56,105650.15
89,2014-11-11,603328,27.95,27.95,26.39,26.64,27.94,97040.83
90,2014-11-12,603328,26.54,28.74,26.28,28.54,26.64,174824.54
91,2014-11-13,603328,27.91,29.79,27.9,28.62,28.54,202548.76
92,2014-11-14,603328,28.15,28.47,26.8,27.43,28.62,109802.14
93,2014-11-17,603328,27.1,27.97,26.9,27.4,27.43,53369.38
94,2014-11-18,603328,27.35,27.95,27.15,27.71,27.4,55395.19
95,2014-11-19,603328,27.7,27.7,27.03,27.28,27.71,61437.38
96,2014-11-20,603328,27.18,27.39,26.95,27.24,27.28,44888.05
97,2014-11-21,603328,27.25,27.96,27.11,27.53,27.24,68774.95
98,2014-11-24,603328,27.85,27.88,27.38,27.65,27.53,72984.81
99,2014-11-25,603328,27.57,27.6,26.88,27.25,27.65,92454.49
100,2014-11-26,603328,27.27,27.75,27.03,27.69,27.25,68856.62
101,2014-11-27,603328,27.8,28.18,27.55,27.8,27.69,74225.65
102,2014-11-28,603328,27.86,27.86,27.15,27.3,27.8,64825.48
103,2014-12-01,603328,27.38,27.42,26.88,27.16,27.3,52387.72
104,2014-12-02,603328,27.15,27.82,27.01,27.58,27.16,74902.11
105,2014-12-03,603328,27.6,27.7,27.11,27.67,27.58,61991.81
106,2014-12-04,603328,27.71,28.35,27.61,28.2,27.67,101904.27
107,2014-12-05,603328,28.2,28.2,26.6,27.0,28.2,81553.54
108,2014-12-08,603328,26.8,26.96,26.36,26.41,27.0,65609.44
109,2014-12-09,603328,26.3,26.3,24.99,25.02,26.41,75154.14
110,2014-12-10,603328,25.04,25.8,25.0,25.64,25.02,39764.23
111,2014-12-11,603328,25.65,25.92,25.03,25.81,25.64,36608.94
112,2014-12-12,603328,25.84,26.21,25.62,26.0,25.81,34773.48
113,2014-12-15,603328,26.02,26.32,25.78,26.26,26.0,31250.57
114,2014-12-16,603328,26.2,26.29,25.67,25.77,26.26,40917.91
115,2014-12-17,603328,25.75,25.76,25.1,25.4,25.77,33879.72
116,2014-12-18,603328,25.29,25.61,25.12,25.35,25.4,23054.62
117,2014-12-19,603328,25.33,25.34,24.34,24.48,25.35,49577.46
118,2014-12-22,603328,24.35,24.36,22.06,22.42,24.48,61705.58
119,2014-12-23,603328,22.46,23.2,22.34,22.8,22.42,31393.99
120,2014-12-24,603328,23.13,23.63,23.04,23.58,22.8,32943.62
121,2014-12-25,603328,23.66,23.98,23.33,23.6,23.58,25950.63
122,2014-12-26,603328,23.6,23.66,23.3,23.47,23.6,21093.87
123,2014-12-29,603328,23.48,23.5,22.71,22.77,23.47,27454.93
124,2014-12-30,603328,22.8,23.74,22.72,23.34,22.77,37182.77
125,2014-12-31,603328,23.33,23.48,23.06,23.29,23.34,17770.13
126,2015-01-05,603328,23.32,23.79,23.3,23.66,23.29,26363.7
127,2015-01-06,603328,23.51,24.23,23.35,24.04,23.66,35059.22
128,2015-01-07,603328,24.05,24.05,23.51,23.67,24.04,22992.53
129,2015-01-08,603328,23.7,23.99,23.56,23.62,23.67,22843.71
130,2015-01-09,603328,23.5,23.62,23.15,23.17,23.62,24323.21
131,2015-01-12,603328,23.18,23.18,22.46,22.58,23.17,21932.37
132,2015-01-13,603328,22.6,23.2,22.55,23.18,22.58,24968.15
133,2015-01-14,603328,23.08,23.11,22.66,22.79,23.18,14624.37
134,2015-01-15,603328,22.88,23.5,22.74,23.16,22.79,19222.48
135,2015-01-16,603328,23.08,23.46,23.08,23.42,23.16,19517.54
136,2015-01-19,603328,23.3,24.0,22.83,23.79,23.42,52243.71
137,2015-01-20,603328,23.88,24.84,23.62,24.76,23.79,63618.74
138,2015-01-21,603328,24.97,24.97,24.4,24.61,24.76,49456.21
139,2015-01-22,603328,24.65,24.8,24.45,24.72,24.61,29888.35
140,2015-01-23,603328,24.72,24.78,24.14,24.27,24.72,31496.04
141,2015-01-26,603328,24.27,24.7,24.16,24.68,24.27,23142.48
142,2015-01-27,603328,24.7,24.7,24.25,24.59,24.68,22283.1
143,2015-01-28,603328,24.48,24.69,24.4,24.58,24.59,22158.67
144,2015-01-29,603328,24.49,24.56,24.28,24.3,24.58,15604.76
145,2015-01-30,603328,24.32,24.46,23.85,23.87,24.3,19697.27
146,2015-02-02,603328,23.69,23.77,23.3,23.57,23.87,19390.79
147,2015-02-03,603328,23.7,24.32,23.64,24.28,23.57,21838.41
148,2015-02-04,603328,24.4,24.4,23.83,23.9,24.28,15990.53
149,2015-02-05,603328,24.15,24.4,23.85,23.88,23.9,26612.67
150,2015-02-06,603328,23.78,23.9,23.27,23.32,23.88,20117.21
151,2015-02-09,603328,23.32,23.35,23.02,23.09,23.32,11163.81
152,2015-02-10,603328,23.03,23.28,23.03,23.19,23.09,11731.6
153,2015-02-11,603328,23.28,23.55,23.21,23.33,23.19,11161.31
154,2015-02-12,603328,23.37,23.96,23.35,23.9,23.33,16576.49
155,2015-02-13,603328,23.92,24.51,23.92,24.27,23.9,27683.39
156,2015-02-16,603328,24.29,24.67,24.29,24.6,24.27,29170.84
157,2015-02-17,603328,24.66,24.69,24.22,24.39,24.6,21243.62
158,2015-02-25,603328,24.46,24.46,24.05,24.13,24.39,15858.71
159,2015-02-26,603328,24.2,24.56,24.14,24.55,24.13,22469.81
160,2015-02-27,603328,24.64,24.74,24.48,24.6,24.55,21563.22
161,2015-03-02,603328,24.81,24.81,24.45,24.78,24.6,30147.16
162,2015-03-03,603328,24.64,25.24,24.61,24.93,24.78,46332.09
163,2015-03-04,603328,24.97,25.35,24.81,25.28,24.93,36837.19
164,2015-03-05,603328,25.3,25.39,24.88,24.96,25.28,36293.87
165,2015-03-06,603328,25.0,25.2,24.52,24.58,24.96,27034.49
166,2015-03-09,603328,24.54,24.88,24.36,24.87,24.58,18875.15
167,2015-03-10,603328,24.77,25.78,24.77,25.57,24.87,55870.63
168,2015-03-11,603328,25.58,25.77,25.14,25.21,25.57,29001.46
169,2015-03-12,603328,25.25,25.29,24.8,24.87,25.21,26221.46
170,2015-03-13,603328,24.92,25.34,24.92,25.31,24.87,18895.89
171,2015-03-16,603328,25.6,26.1,25.5,26.06,25.31,55735.82
172,2015-03-17,603328,26.07,26.19,25.7,25.94,26.06,48661.42
173,2015-03-18,603328,26.0,26.36,25.81,26.31,25.94,52771.62
174,2015-03-19,603328,26.28,26.98,26.04,26.96,26.31,83006.76
175,2015-03-20,603328,26.97,27.2,26.66,27.02,26.96,46161.85
176,2015-03-23,603328,27.1,27.25,26.87,27.1,27.02,51193.62
177,2015-03-24,603328,27.1,27.18,25.9,26.62,27.1,70886.02
178,2015-03-25,603328,26.5,27.6,26.23,27.35,26.62,83102.03
179,2015-03-26,603328,27.2,28.1,27.01,27.29,27.35,80277.67
180,2015-03-27,603328,27.27,27.74,27.05,27.61,27.29,52012.27
181,2015-03-30,603328,27.99,28.08,27.23,27.49,27.61,56325.29
182,2015-03-31,603328,27.44,27.58,27.04,27.06,27.49,57772.38
183,2015-04-01,603328,27.06,27.79,27.06,27.72,27.06,60502.07
184,2015-04-02,603328,27.8,28.94,27.71,28.9,27.72,107600.14
185,2015-04-03,603328,28.52,29.03,28.3,28.8,28.9,65453.29
186,2015-04-07,603328,28.99,30.1,28.7,29.99,28.8,81013.06
187,2015-04-08,603328,29.99,30.09,28.31,29.19,29.99,78335.79
188,2015-04-09,603328,29.0,29.15,26.76,28.2,29.19,66452.62
189,2015-04-10,603328,28.18,29.18,27.91,29.07,28.2,53596.97
190,2015-04-13,603328,29.14,29.88,29.13,29.53,29.07,64330.6
191,2015-04-14,603328,29.4,29.41,28.71,28.82,29.53,63339.91
192,2015-04-15,603328,28.74,28.74,27.5,27.67,28.82,56273.45
193,2015-04-16,603328,27.41,28.45,26.81,28.27,27.67,51882.23
194,2015-04-17,603328,28.45,28.93,28.0,28.49,28.27,53425.69
195,2015-04-20,603328,28.25,28.49,27.51,27.53,28.49,52095.29
196,2015-04-21,603328,27.31,29.0,27.31,28.98,27.53,59212.78
197,2015-04-22,603328,28.51,29.87,28.51,29.61,28.98,131225.44
198,2015-04-23,603328,29.56,29.75,28.9,29.09,29.61,81452.3
199,2015-04-24,603328,28.7,28.99,28.02,28.6,29.09,69345.12
200,2015-04-27,603328,28.9,29.5,28.62,29.28,28.6,81430.37
201,2015-04-28,603328,29.28,29.45,28.04,28.24,29.28,62312.1
202,2015-04-29,603328,28.55,29.14,28.0,28.89,28.24,52818.63
203,2015-04-30,603328,28.88,29.31,28.36,28.46,28.89,55381.26
204,2015-05-04,603328,28.53,28.53,27.72,28.4,28.46,48223.3
205,2015-05-05,603328,28.35,28.35,27.11,27.32,28.4,53504.26
206,2015-05-06,603328,27.33,27.7,26.8,27.31,27.32,43019.99
207,2015-05-07,603328,27.38,27.59,26.81,27.17,27.31,33349.86
208,2015-05-08,603328,27.51,28.05,27.32,28.03,27.17,50206.51
